match_id,date,sport,team_name,opponent_team,player_name,player_position,minutes_played,score,goals,assists,saves,passes_completed,speed,success_rate,team_result,matches_played,matches_won,matches_lost,rating,injuries,cluster
M0,2024-08-03,Cricket,Mumbai Warriors,Chennai Chargers,Azad Seshadri,All-Rounder,48,71,0,2,1,11,16.54,66.42,Win,207,147,60,4.02,False,1
M1,2025-01-02,Cricket,Mumbai Warriors,Chennai Chargers,Vardaniya Suresh,Bowler,65,21,0,5,9,75,21.66,88.62,Win,161,74,87,9.53,False,2
M2,2024-08-01,Hockey,Delhi Titans,Kolkata Kings,Zaina D’Alia,Goalkeeper,88,100,0,8,4,82,23.94,79.49,Win,123,70,53,1.82,False,2
M3,2025-04-10,Hockey,Kolkata Kings,Delhi Titans,Vardaniya Sundaram,Defender,43,58,0,8,9,3,18.62,56.04,Draw,122,58,64,2.27,True,2
M4,2023-12-24,Hockey,Chennai Chargers,Kolkata Kings,Ivana Venkatesh,Defender,68,14,0,8,4,31,21.61,70.42,Draw,221,19,202,3.15,True,0
M5,2024-05-22,Basketball,Kolkata Kings,Delhi Titans,Trisha Dugar,Center,83,50,4,6,9,5,17.21,51.92,Loss,284,152,132,7.27,True,1
M6,2023-10-11,Hockey,Chennai Chargers,Mumbai Warriors,Fateh Handa,Midfielder,71,72,0,2,5,37,10.92,93.01,Win,145,83,62,6.72,False,2
M7,2024-06-20,Cricket,Kolkata Kings,Delhi Titans,Neysa Varughese,Wicket-Keeper,45,98,0,0,9,26,24.51,81.67,Loss,256,209,47,5.66,False,1
M8,2025-04-09,Hockey,Kolkata Kings,Delhi Titans,Himmat Ghose,Defender,90,70,0,3,7,76,11.49,66.09,Draw,276,181,95,6.06,False,1
M9,2023-12-23,Cricket,Chennai Chargers,Mumbai Warriors,Anahita Bhandari,Batsman,62,90,0,5,0,52,8.04,66.69,Win,18,2,16,4.01,False,2
M10,2023-09-21,Hockey,Chennai Chargers,Delhi Titans,Dhanuk Ganesan,Forward,34,8,0,6,8,28,7.67,51.91,Win,248,246,2,1.44,False,1
M11,2024-03-07,Football,Chennai Chargers,Delhi Titans,Gatik Dara,Defender,53,46,1,8,0,3,19.71,93.4,Loss,282,4,278,7.53,True,0
M12,2023-10-08,Cricket,Kolkata Kings,Chennai Chargers,Nakul Garde,Batsman,86,67,0,3,6,21,5.17,50.09,Draw,284,162,122,3.03,False,1
M13,2024-05-31,Basketball,Mumbai Warriors,Delhi Titans,Indrans Kaur,Guard,75,9,3,10,10,57,9.92,66.25,Loss,29,21,8,6.39,True,2
M14,2023-11-16,Football,Kolkata Kings,Mumbai Warriors,Ritvik Subramaniam,Defender,87,73,5,4,6,53,13.47,70.83,Loss,185,102,83,7.49,True,1
M15,2024-08-05,Cricket,Mumbai Warriors,Delhi Titans,Neelofar Grover,Batsman,83,58,0,10,0,73,16.58,51.55,Draw,41,16,25,6.53,True,2
M16,2023-12-21,Football,Kolkata Kings,Chennai Chargers,Indranil Kala,Forward,34,90,2,6,5,39,24.16,78.73,Loss,61,6,55,6.89,True,2
M17,2025-05-05,Basketball,Delhi Titans,Kolkata Kings,Tanya Ramanathan,Guard,59,90,5,3,7,50,24.71,79.34,Win,18,12,6,8.99,True,2
M18,2024-04-11,Basketball,Chennai Chargers,Mumbai Warriors,Madhup Bera,Guard,33,96,1,8,7,31,8.2,92.26,Win,191,18,173,8.79,True,0
